Zona,Candidato_a,Candidato_aa,pct_a,votos_a,Candidato_b,Candidato_bb,pct_b,votos_b,Candidato_c,Candidato_cc,pct_c,votos_c, 
1, Lula, Lula, 56.46, 60683, Jair Bolsonaro, Jair Bolsonaro, 29.6, 31814, Simone Tebet, Simone Tebet, 8.1, 8709, 
2, Lula, Lula, 46.39, 67566, Jair Bolsonaro, Jair Bolsonaro, 35.33, 51459, Simone Tebet, Simone Tebet, 11.9, 17327, 
3, Lula, Lula, 48.63, 26535, Jair Bolsonaro, Jair Bolsonaro, 39.5, 21556, Simone Tebet, Simone Tebet, 6.02, 3284, 
4, Jair Bolsonaro, Jair Bolsonaro, 48.84, 58681, Lula, Lula, 34.69, 41687, Simone Tebet, Simone Tebet, 9.52, 11440, 
5, Jair Bolsonaro, Jair Bolsonaro, 41.95, 38733, Lula, Lula, 35.79, 33049, Simone Tebet, Simone Tebet, 15.58, 14383, 
6, Lula, Lula, 41.3, 51419, Jair Bolsonaro, Jair Bolsonaro, 38.81, 48314, Simone Tebet, Simone Tebet, 12.62, 15715, 
6, Lula, Lula, 41.3, 51419, Jair Bolsonaro, Jair Bolsonaro, 38.81, 48314, Simone Tebet, Simone Tebet, 12.62, 15715, 
20, Lula, Lula, 60.91, 74925, Jair Bolsonaro, Jair Bolsonaro, 27.93, 34351, Simone Tebet, Simone Tebet, 5.4, 6638, 
246, Jair Bolsonaro, Jair Bolsonaro, 44.85, 40172, Lula, Lula, 33.6, 30101, Simone Tebet, Simone Tebet, 13.47, 12065, 
247, Lula, Lula, 48.39, 39085, Jair Bolsonaro, Jair Bolsonaro, 39.07, 31562, Simone Tebet, Simone Tebet, 6.51, 5262, 
248, Lula, Lula, 49.1, 57472, Jair Bolsonaro, Jair Bolsonaro, 38.03, 44510, Simone Tebet, Simone Tebet, 6.52, 7632, 
249, Jair Bolsonaro, Jair Bolsonaro, 48.73, 40331, Lula, Lula, 33.47, 27701, Simone Tebet, Simone Tebet, 10.5, 8694, 
250, Jair Bolsonaro, Jair Bolsonaro, 43.14, 55071, Lula, Lula, 38.11, 48650, Simone Tebet, Simone Tebet, 11.4, 14548, 
251, Lula, Lula, 46.75, 41103, Jair Bolsonaro, Jair Bolsonaro, 32.72, 28763, Simone Tebet, Simone Tebet, 14.11, 12405, 
252, Jair Bolsonaro, Jair Bolsonaro, 45, 37223, Lula, Lula, 39.08, 32319, Simone Tebet, Simone Tebet, 8.57, 7089, 
253, Jair Bolsonaro, Jair Bolsonaro, 48.98, 81986, Lula, Lula, 34.14, 57144, Simone Tebet, Simone Tebet, 9.61, 16094, 
254, Jair Bolsonaro, Jair Bolsonaro, 47.41, 53637, Lula, Lula, 38.92, 44036, Simone Tebet, Simone Tebet, 7.51, 8498, 
255, Jair Bolsonaro, Jair Bolsonaro, 42.46, 58951, Lula, Lula, 41.99, 58300, Simone Tebet, Simone Tebet, 8.94, 12408, 
256, Jair Bolsonaro, Jair Bolsonaro, 44.43, 57564, Lula, Lula, 41.16, 53329, Simone Tebet, Simone Tebet, 7.85, 10169, 
257, Jair Bolsonaro, Jair Bolsonaro, 46.61, 61361, Lula, Lula, 37.48, 49343, Simone Tebet, Simone Tebet, 9.03, 11884, 
258, Jair Bolsonaro, Jair Bolsonaro, 46.27, 65737, Lula, Lula, 31.41, 44626, Simone Tebet, Simone Tebet, 14.76, 20964, 
259, Jair Bolsonaro, Jair Bolsonaro, 39.95, 47078, Lula, Lula, 37.24, 43882, Simone Tebet, Simone Tebet, 14.8, 17435, 
259, Jair Bolsonaro, Jair Bolsonaro, 39.95, 47078, Lula, Lula, 37.24, 43882, Simone Tebet, Simone Tebet, 14.8, 17435, 
260, Lula, Lula, 45.28, 60824, Jair Bolsonaro, Jair Bolsonaro, 39.7, 53333, Simone Tebet, Simone Tebet, 8.54, 11467, 
280, Lula, Lula, 48.11, 62264, Jair Bolsonaro, Jair Bolsonaro, 37.16, 48095, Simone Tebet, Simone Tebet, 8.05, 10414, 
320, Lula, Lula, 47.88, 65675, Jair Bolsonaro, Jair Bolsonaro, 35.95, 49307, Simone Tebet, Simone Tebet, 9.02, 12371, 
325, Jair Bolsonaro, Jair Bolsonaro, 43.1, 32262, Lula, Lula, 40.59, 30381, Simone Tebet, Simone Tebet, 9.13, 6830, 
326, Lula, Lula, 48.71, 39638, Jair Bolsonaro, Jair Bolsonaro, 39.55, 32183, Simone Tebet, Simone Tebet, 6, 4886, 
327, Lula, Lula, 42.88, 37555, Jair Bolsonaro, Jair Bolsonaro, 41.81, 36616, Simone Tebet, Simone Tebet, 8.67, 7593, 
328, Lula, Lula, 53.95, 72614, Jair Bolsonaro, Jair Bolsonaro, 32.94, 44340, Simone Tebet, Simone Tebet, 6.63, 8924, 
346, Lula, Lula, 40.81, 44473, Jair Bolsonaro, Jair Bolsonaro, 40.48, 44114, Simone Tebet, Simone Tebet, 11.7, 12749, 
347, Jair Bolsonaro, Jair Bolsonaro, 43.86, 57138, Lula, Lula, 41.12, 53565, Simone Tebet, Simone Tebet, 8.17, 10640, 
348, Jair Bolsonaro, Jair Bolsonaro, 49.32, 37638, Lula, Lula, 34.97, 26682, Simone Tebet, Simone Tebet, 8.87, 6766, 
349, Lula, Lula, 43.01, 41176, Jair Bolsonaro, Jair Bolsonaro, 42.67, 40854, Simone Tebet, Simone Tebet, 7.83, 7500, 
350, Lula, Lula, 43.66, 44006, Jair Bolsonaro, Jair Bolsonaro, 42.93, 43274, Simone Tebet, Simone Tebet, 7.23, 7290, 
351, Lula, Lula, 50.68, 49835, Jair Bolsonaro, Jair Bolsonaro, 35.04, 34454, Simone Tebet, Simone Tebet, 7.76, 7626, 
352, Lula, Lula, 52.54, 81511, Jair Bolsonaro, Jair Bolsonaro, 36.39, 56459, Simone Tebet, Simone Tebet, 5.67, 8799, 
353, Lula, Lula, 55.83, 76019, Jair Bolsonaro, Jair Bolsonaro, 33.53, 45653, Simone Tebet, Simone Tebet, 5.2, 7084, 
371, Lula, Lula, 61.77, 93576, Jair Bolsonaro, Jair Bolsonaro, 27.37, 41468, Simone Tebet, Simone Tebet, 5.37, 8141, 
372, Lula, Lula, 62.16, 131030, Jair Bolsonaro, Jair Bolsonaro, 26.94, 56792, Simone Tebet, Simone Tebet, 5.27, 11107, 
373, Lula, Lula, 57.27, 56650, Jair Bolsonaro, Jair Bolsonaro, 30.47, 30144, Simone Tebet, Simone Tebet, 6.09, 6024, 
374, Lula, Lula, 50.14, 96284, Jair Bolsonaro, Jair Bolsonaro, 34.66, 66564, Simone Tebet, Simone Tebet, 8.61, 16540, 
375, Lula, Lula, 54.25, 103125, Jair Bolsonaro, Jair Bolsonaro, 34.74, 66037, Simone Tebet, Simone Tebet, 5.53, 10506, 
376, Lula, Lula, 52.99, 96397, Jair Bolsonaro, Jair Bolsonaro, 34.99, 63641, Simone Tebet, Simone Tebet, 6.41, 11664, 
381, Lula, Lula, 60.39, 108864, Jair Bolsonaro, Jair Bolsonaro, 28.52, 51407, Simone Tebet, Simone Tebet, 5.4, 9730, 
389, Lula, Lula, 55.04, 82812, Jair Bolsonaro, Jair Bolsonaro, 33.76, 50796, Simone Tebet, Simone Tebet, 5.86, 8820, 
390, Lula, Lula, 44.16, 39736, Jair Bolsonaro, Jair Bolsonaro, 42.02, 37812, Simone Tebet, Simone Tebet, 7.37, 6628, 
392, Lula, Lula, 45.12, 42934, Jair Bolsonaro, Jair Bolsonaro, 40.8, 38825, Simone Tebet, Simone Tebet, 7.53, 7167, 
397, Lula, Lula, 52.81, 62615, Jair Bolsonaro, Jair Bolsonaro, 36.54, 43329, Simone Tebet, Simone Tebet, 5.42, 6425, 
398, Lula, Lula, 49.31, 37217, Jair Bolsonaro, Jair Bolsonaro, 38.9, 29361, Simone Tebet, Simone Tebet, 5.88, 4439, 
403, Lula, Lula, 50.21, 42308, Jair Bolsonaro, Jair Bolsonaro, 36.59, 30831, Simone Tebet, Simone Tebet, 7.16, 6033, 
404, Lula, Lula, 60.77, 88478, Jair Bolsonaro, Jair Bolsonaro, 28.9, 42085, Simone Tebet, Simone Tebet, 5.09, 7406, 
404, Lula, Lula, 60.77, 88478, Jair Bolsonaro, Jair Bolsonaro, 28.9, 42085, Simone Tebet, Simone Tebet, 5.09, 7406, 
405, Lula, Lula, 52.52, 42375, Jair Bolsonaro, Jair Bolsonaro, 33.97, 27404, Simone Tebet, Simone Tebet, 7.1, 5729, 
408, Lula, Lula, 54.5, 69486, Jair Bolsonaro, Jair Bolsonaro, 31.75, 40477, Simone Tebet, Simone Tebet, 7.38, 9407, 
413, Lula, Lula, 44.98, 51499, Jair Bolsonaro, Jair Bolsonaro, 39.01, 44665, Simone Tebet, Simone Tebet, 9.15, 10474, 
417, Lula, Lula, 47.52, 44586, Jair Bolsonaro, Jair Bolsonaro, 38.83, 36431, Simone Tebet, Simone Tebet, 7.1, 6658, 
418, Lula, Lula, 53.07, 77028, Jair Bolsonaro, Jair Bolsonaro, 33.37, 48437, Simone Tebet, Simone Tebet, 7.04, 10217, 
420, Jair Bolsonaro, Jair Bolsonaro, 46.36, 40873, Lula, Lula, 39.7, 35002, Simone Tebet, Simone Tebet, 7.71, 6794, 
421, Lula, Lula, 52.77, 57642, Jair Bolsonaro, Jair Bolsonaro, 36.27, 39623, Simone Tebet, Simone Tebet, 5.66, 6178, 
422, Lula, Lula, 42.92, 47502, Jair Bolsonaro, Jair Bolsonaro, 42.41, 46939, Simone Tebet, Simone Tebet, 8.19, 9066, 